"","loan_installements_id","installment_number","loan_request_id","installment_amount","due_amount","penalty_accumulated","installment_due_date","penalty_paid","last_payment_date","created_date.x","updated_date","updated_by","extension_due_date","penalty_calculation_date","created_date.y"
"19",19,1,3548,11666,0,2098,"2016-10-02 12:00:01",2098,"2016-12-01 00:00:00","2016-09-02 10:22:17","2016-12-01 05:38:13",3,"2016-10-09 12:00:01","2016-11-28 00:10:28","2016-09-02 10:22:17"
"20",20,3,3548,11668,0,0,"2016-12-01 12:00:01",0,"2016-12-01 00:00:00","2016-09-02 10:22:17","2016-12-01 05:38:13",3,"2016-12-08 12:00:01",NA,"2016-09-02 10:22:17"
"21",21,2,3548,11666,0,1000,"2016-11-01 12:00:01",1000,"2016-12-01 00:00:00","2016-09-02 10:22:17","2016-12-01 05:38:13",3,"2016-11-08 12:00:01","2016-11-30 00:10:46","2016-09-02 10:22:17"
"22",22,2,3699,6666,0,0,"2016-11-05 12:00:01",0,"2016-09-08 00:00:00","2016-09-06 11:24:22","2016-09-08 04:36:27",3,"2016-11-12 12:00:01",NA,"2016-09-06 11:24:21"
"23",23,1,3699,6666,0,0,"2016-10-06 12:00:00",0,"2016-09-08 00:00:00","2016-09-06 11:24:21","2016-09-08 04:36:27",3,"2016-10-13 12:00:00",NA,"2016-09-06 11:24:21"
"24",24,3,3699,6668,0,0,"2016-12-05 12:00:01",0,"2016-09-08 00:00:00","2016-09-06 11:24:22","2016-09-08 04:36:27",3,"2016-12-12 12:00:01",NA,"2016-09-06 11:24:21"
"25",25,3,3704,15000,0,0,"2016-12-05 12:00:01",0,"2016-12-03 00:00:00","2016-09-06 11:44:17","2016-12-03 11:38:10",3,"2016-12-12 12:00:01",NA,"2016-09-06 11:44:17"
"26",26,2,3704,15000,0,0,"2016-11-05 12:00:01",0,"2016-11-04 00:00:00","2016-09-06 11:44:17","2016-11-04 04:36:30",3,"2016-11-12 12:00:01",NA,"2016-09-06 11:44:17"
"27",27,1,3704,15000,0,0,"2016-10-06 12:00:01",0,"2016-10-04 00:00:00","2016-09-06 11:44:17","2016-10-04 14:36:30",3,"2016-10-13 12:00:01",NA,"2016-09-06 11:44:17"
"28",28,2,3744,23333,0,933,"2016-11-06 12:00:00",933,"2016-11-17 00:00:00","2016-09-07 09:46:17","2016-11-17 08:36:31",3,"2016-11-13 12:00:00","2016-11-14 00:10:34","2016-09-07 09:46:17"
"29",29,3,3744,23334,0,0,"2016-12-06 12:00:00",0,"2016-11-17 00:00:00","2016-09-07 09:46:17","2016-11-17 06:36:32",3,"2016-12-13 12:00:00",NA,"2016-09-07 09:46:17"
"30",30,1,3744,23333,0,0,"2016-10-07 12:00:00",0,"2016-10-10 00:00:00","2016-09-07 09:46:17","2016-10-10 03:36:35",3,"2016-10-14 12:00:00",NA,"2016-09-07 09:46:17"
"31",31,1,3815,33333,0,0,"2016-10-08 12:00:00",0,"2016-10-07 00:00:00","2016-09-08 12:00:23","2016-10-07 09:36:29",3,"2016-10-15 12:00:00",NA,"2016-09-08 12:00:23"
"32",32,3,3815,33334,0,0,"2016-12-07 12:00:00",0,"2016-12-07 00:00:00","2016-09-08 12:00:23","2016-12-07 04:38:10",3,"2016-12-14 12:00:00",NA,"2016-09-08 12:00:23"
"33",33,2,3815,33333,0,0,"2016-11-07 12:00:00",0,"2016-11-07 00:00:00","2016-09-08 12:00:23","2016-11-07 04:36:31",3,"2016-11-14 12:00:00",NA,"2016-09-08 12:00:23"
"34",34,2,3865,6666,0,0,"2016-11-08 12:00:01",0,"2016-11-11 00:00:00","2016-09-09 08:46:17","2016-11-11 09:36:33",3,"2016-11-15 12:00:01",NA,"2016-09-09 08:46:17"
"35",35,1,3865,6666,0,0,"2016-10-09 12:00:01",0,"2016-10-10 00:00:00","2016-09-09 08:46:17","2016-10-10 14:36:27",3,"2016-10-16 12:00:01",NA,"2016-09-09 08:46:17"
"36",36,3,3865,6668,0,0,"2016-12-08 12:00:01",0,"2016-12-07 00:00:00","2016-09-09 08:46:17","2016-12-07 04:38:09",3,"2016-12-15 12:00:01",NA,"2016-09-09 08:46:17"
"37",37,3,3891,28334,0,0,"2016-12-08 12:00:01",0,"2016-12-08 00:00:00","2016-09-09 12:06:23","2016-12-08 04:38:11",3,"2016-12-15 12:00:01",NA,"2016-09-09 12:06:23"
"38",38,2,3891,28333,0,0,"2016-11-08 12:00:01",0,"2016-11-11 00:00:00","2016-09-09 12:06:23","2016-11-11 04:36:33",3,"2016-11-15 12:00:01",NA,"2016-09-09 12:06:23"
"39",39,1,3891,28333,0,0,"2016-10-09 12:00:01",0,"2016-10-09 00:00:00","2016-09-09 12:06:23","2016-10-09 01:36:28",3,"2016-10-16 12:00:01",NA,"2016-09-09 12:06:23"
"40",40,2,3983,6666,0,0,"2016-11-11 12:00:01",0,"2016-11-12 00:00:00","2016-09-12 07:52:19","2016-11-12 07:36:32",3,"2016-11-18 12:00:01",NA,"2016-09-12 07:52:19"
"41",41,1,3983,6666,0,0,"2016-10-12 12:00:01",0,"2016-10-10 00:00:00","2016-09-12 07:52:19","2016-10-10 11:36:29",3,"2016-10-19 12:00:01",NA,"2016-09-12 07:52:19"
"42",42,3,3983,6668,0,0,"2016-12-11 12:00:01",0,"2016-12-09 00:00:00","2016-09-12 07:52:19","2016-12-09 03:38:10",3,"2016-12-18 12:00:01",NA,"2016-09-12 07:52:19"
"43",43,2,4021,6666,0,0,"2016-11-12 12:00:01",0,"2016-11-03 00:00:00","2016-09-13 06:08:18","2016-11-03 04:36:32",3,"2016-11-19 12:00:01",NA,"2016-09-13 06:08:18"
"44",44,1,4021,6666,0,0,"2016-10-13 12:00:01",0,"2016-10-04 00:00:00","2016-09-13 06:08:18","2016-10-04 11:36:29",3,"2016-10-20 12:00:01",NA,"2016-09-13 06:08:18"
"45",45,3,4021,6668,0,0,"2016-12-12 12:00:01",0,"2016-12-06 00:00:00","2016-09-13 06:08:18","2016-12-06 07:38:10",3,"2016-12-19 12:00:01",NA,"2016-09-13 06:08:18"
"46",46,1,4113,8333,0,4,"2016-10-14 12:00:00",4,"2016-12-17 00:00:00","2016-09-14 11:58:17","2016-12-21 14:00:11",3,"2016-10-21 12:00:00","2016-11-19 00:10:30","2016-09-14 11:58:17"
"47",47,3,4113,8334,0,0,"2016-12-13 12:00:00",0,"2016-12-17 00:00:00","2016-09-14 11:58:17","2016-12-21 14:00:11",3,"2016-12-20 12:00:00",NA,"2016-09-14 11:58:17"
"48",48,2,4113,8333,0,0,"2016-11-13 12:00:00",0,"2016-12-17 00:00:00","2016-09-14 11:58:17","2016-12-21 14:00:11",3,"2016-11-20 12:00:00","2016-11-21 00:10:30","2016-09-14 11:58:17"
"49",49,2,4149,11666,0,0,"2016-11-14 12:00:00",0,"2016-11-04 00:00:00","2016-09-15 06:04:17","2016-11-04 05:36:32",3,"2016-11-21 12:00:00",NA,"2016-09-15 06:04:17"
"50",50,3,4149,11668,0,0,"2016-12-14 12:00:00",0,"2016-11-04 00:00:00","2016-09-15 06:04:17","2016-11-04 05:36:32",3,"2016-12-21 12:00:00",NA,"2016-09-15 06:04:17"
"51",51,1,4149,11666,0,0,"2016-10-15 12:00:00",0,"2016-10-13 00:00:00","2016-09-15 06:04:17","2016-10-13 05:36:29",3,"2016-10-22 12:00:00",NA,"2016-09-15 06:04:17"
"52",52,1,4152,23333,0,933,"2016-10-15 12:00:01",933,"2016-12-21 00:00:00","2016-09-15 06:36:29","2016-12-21 13:38:09",3,"2016-10-22 12:00:01","2016-10-23 00:10:24","2016-09-15 06:36:29"
"53",53,3,4152,23334,0,0,"2016-12-14 12:00:01",0,"2016-12-21 00:00:00","2016-09-15 06:36:29","2016-12-21 13:38:09",3,"2016-12-21 12:00:01",NA,"2016-09-15 06:36:29"
"54",54,2,4152,23333,0,933,"2016-11-14 12:00:01",933,"2016-12-21 00:00:00","2016-09-15 06:36:29","2016-12-21 13:38:09",3,"2016-11-21 12:00:01","2016-11-22 00:10:24","2016-09-15 06:36:29"
"55",55,2,4171,33333,33333,48690,"2016-11-14 12:00:01",0,NA,"2016-09-15 09:02:18","2018-04-03 00:32:22",32036,"2016-11-21 12:00:01","2018-04-03 00:32:22","2016-09-15 09:02:18"
"56",56,3,4171,33334,33334,46022,"2016-12-14 12:00:01",0,NA,"2016-09-15 09:02:18","2018-04-05 00:32:19",32036,"2016-12-21 12:00:01","2018-04-05 00:32:19","2016-09-15 09:02:18"
"57",57,1,4171,33333,33333,51358,"2016-10-15 12:00:01",0,NA,"2016-09-15 09:02:18","2018-04-02 00:32:21",32036,"2016-10-22 12:00:01","2018-04-02 00:32:21","2016-09-15 09:02:18"
"58",64,2,4395,13333,0,0,"2016-11-18 12:00:01",0,"2016-11-13 00:00:00","2016-09-19 07:48:24","2016-11-13 04:36:28",3,"2016-11-25 12:00:01",NA,"2016-09-19 07:48:24"
"59",65,1,4395,13333,0,533,"2016-10-19 12:00:01",533,"2016-12-01 00:00:00","2016-09-19 07:48:24","2016-12-01 11:38:10",3,"2016-10-26 12:00:01","2016-10-27 00:10:24","2016-09-19 07:48:24"
"60",66,3,4395,13334,0,0,"2016-12-18 12:00:01",0,"2016-12-01 00:00:00","2016-09-19 07:48:24","2016-12-01 11:38:10",3,"2016-12-25 12:00:01",NA,"2016-09-19 07:48:24"
"61",67,1,4433,10000,10000,15400,"2016-10-19 12:00:00",0,NA,"2016-09-19 13:42:22","2018-04-05 00:32:19",32036,"2016-10-26 12:00:00","2018-04-05 00:32:19","2016-09-19 13:42:22"
"62",68,2,4433,10000,10000,14400,"2016-11-18 12:00:00",0,NA,"2016-09-19 13:42:22","2018-03-31 00:32:21",32036,"2016-11-25 12:00:00","2018-03-31 00:32:21","2016-09-19 13:42:22"
"63",69,3,4433,10000,10000,13600,"2016-12-18 12:00:00",0,NA,"2016-09-19 13:42:22","2018-04-02 00:32:21",32036,"2016-12-25 12:00:00","2018-04-02 00:32:21","2016-09-19 13:42:22"
"64",76,3,4559,8334,0,0,"2016-12-20 12:00:01",0,"2016-12-02 00:00:00","2016-09-21 07:42:25","2016-12-02 08:38:09",3,"2016-12-27 12:00:01",NA,"2016-09-21 07:42:25"
"65",77,2,4559,8333,0,333,"2016-11-20 12:00:01",333,"2016-12-02 00:00:00","2016-09-21 07:42:25","2016-12-02 08:38:09",3,"2016-11-27 12:00:01","2016-11-28 00:10:28","2016-09-21 07:42:25"
"66",78,1,4559,8333,0,333,"2016-10-21 12:00:01",333,"2016-12-02 00:00:00","2016-09-21 07:42:25","2016-12-02 08:38:09",3,"2016-10-28 12:00:01","2016-10-29 00:10:26","2016-09-21 07:42:25"
"67",79,3,4703,15000,0,600,"2016-12-22 12:00:00",600,"2017-02-16 00:00:00","2016-09-23 08:46:18","2017-02-17 12:00:09",1,"2016-12-29 12:00:00","2017-02-17 00:10:44","2016-09-23 08:46:18"
"68",80,1,4703,15000,0,600,"2016-10-23 12:00:00",600,"2017-01-03 00:00:00","2016-09-23 08:46:18","2017-01-03 05:38:11",3,"2016-10-30 12:00:00","2016-10-31 00:10:27","2016-09-23 08:46:18"
"69",81,2,4703,15000,0,600,"2016-11-22 12:00:00",600,"2017-02-16 00:00:00","2016-09-23 08:46:18","2017-02-17 12:00:09",1,"2016-11-29 12:00:00","2017-02-15 00:10:44","2016-09-23 08:46:18"
"70",85,2,4860,30833,0,0,"2016-11-26 12:00:00",0,"2016-12-06 00:00:00","2016-09-27 06:06:23","2016-12-13 07:40:50",3,"2016-12-03 12:00:00","2016-12-11 00:10:24","2016-09-27 06:06:23"
"71",86,1,4860,30833,0,0,"2016-10-27 12:00:00",0,"2016-12-06 00:00:00","2016-09-27 06:06:23","2016-12-13 07:40:50",3,"2016-11-03 12:00:00","2016-12-09 00:10:24","2016-09-27 06:06:23"
"72",87,3,4860,30834,0,0,"2016-12-26 12:00:00",0,"2016-12-06 00:00:00","2016-09-27 06:06:23","2016-12-13 07:40:50",3,"2017-01-02 12:00:00",NA,"2016-09-27 06:06:23"
"73",94,2,4972,10000,0,0,"2016-11-28 12:00:01",0,"2016-11-26 00:00:00","2016-09-29 05:52:18","2016-11-26 10:36:22",3,"2016-12-05 12:00:01",NA,"2016-09-29 05:52:18"
"74",95,1,4972,10000,0,0,"2016-10-29 12:00:01",0,"2016-10-28 00:00:00","2016-09-29 05:52:18","2016-10-28 06:36:30",3,"2016-11-05 12:00:01",NA,"2016-09-29 05:52:18"
"75",96,3,4972,10000,0,0,"2016-12-28 12:00:01",0,"2016-12-25 00:00:00","2016-09-29 05:52:18","2016-12-25 14:38:08",3,"2017-01-04 12:00:01",NA,"2016-09-29 05:52:18"
"76",127,2,5172,15000,0,4440,"2016-11-30 12:00:00",4440,"2017-04-02 00:00:00","2016-10-01 09:06:22","2017-04-02 11:40:18",3,"2016-12-07 12:00:00","2017-03-30 00:10:42","2016-10-01 09:06:22"
"77",128,3,5172,15000,0,4200,"2016-12-30 12:00:00",4200,"2017-04-02 00:00:00","2016-10-01 09:06:22","2017-04-02 11:40:18",3,"2017-01-06 12:00:00","2017-04-01 00:10:44","2016-10-01 09:06:22"
"78",129,1,5172,15000,0,0,"2016-10-31 12:00:00",0,"2016-10-28 00:00:00","2016-10-01 09:06:22","2016-10-28 11:36:33",3,"2016-11-07 12:00:00",NA,"2016-10-01 09:06:22"
"79",130,3,5179,5000,0,0,"2016-12-30 12:00:00",0,"2016-12-07 00:00:00","2016-10-01 09:56:17","2016-12-07 12:38:12",3,"2017-01-06 12:00:00",NA,"2016-10-01 09:56:17"
"80",131,2,5179,5000,0,0,"2016-11-30 12:00:00",0,"2016-12-07 00:00:00","2016-10-01 09:56:17","2016-12-07 09:38:09",3,"2016-12-07 12:00:00",NA,"2016-10-01 09:56:17"
"81",132,1,5179,5000,0,0,"2016-10-31 12:00:00",0,"2016-10-28 00:00:00","2016-10-01 09:56:17","2016-10-28 09:36:32",3,"2016-11-07 12:00:00",NA,"2016-10-01 09:56:17"
"82",136,3,5285,10000,0,0,"2017-01-01 12:00:00",0,"2016-12-28 00:00:00","2016-10-03 07:44:17","2016-12-28 12:38:10",3,"2017-01-08 12:00:00",NA,"2016-10-03 07:44:17"
"83",137,2,5285,10000,0,0,"2016-12-02 12:00:00",0,"2016-12-01 00:00:00","2016-10-03 07:44:17","2016-12-01 05:38:35",3,"2016-12-09 12:00:00",NA,"2016-10-03 07:44:17"
"84",138,1,5285,10000,0,0,"2016-11-02 12:00:00",0,"2016-11-03 00:00:00","2016-10-03 07:44:17","2016-11-03 04:36:30",3,"2016-11-09 12:00:00",NA,"2016-10-03 07:44:17"
"85",160,1,5445,6666,0,0,"2016-11-03 12:00:01",0,"2016-10-15 00:00:00","2016-10-04 12:12:24","2016-10-15 10:36:28",3,"2016-11-10 12:00:01",NA,"2016-10-04 12:12:24"
"86",161,2,5445,6666,0,0,"2016-12-03 12:00:01",0,"2016-12-05 00:00:00","2016-10-04 12:12:24","2016-12-05 03:38:12",3,"2016-12-10 12:00:01",NA,"2016-10-04 12:12:24"
"87",162,3,5445,6668,0,0,"2017-01-02 12:00:01",0,"2017-01-03 00:00:00","2016-10-04 12:12:24","2017-01-03 04:38:11",3,"2017-01-09 12:00:01",NA,"2016-10-04 12:12:24"
"88",163,3,5449,10000,0,0,"2017-01-02 12:00:00",0,"2017-01-02 00:00:00","2016-10-04 13:08:17","2017-01-02 08:38:11",3,"2017-01-09 12:00:00",NA,"2016-10-04 13:08:17"
"89",164,1,5449,10000,0,0,"2016-11-03 12:00:00",0,"2016-11-01 00:00:00","2016-10-04 13:08:17","2016-11-01 07:36:34",3,"2016-11-10 12:00:00",NA,"2016-10-04 13:08:17"
"90",165,2,5449,10000,0,0,"2016-12-03 12:00:00",0,"2016-12-01 00:00:00","2016-10-04 13:08:17","2016-12-01 06:38:29",3,"2016-12-10 12:00:00",NA,"2016-10-04 13:08:17"
"91",166,3,5481,5000,0,0,"2017-01-03 12:00:00",0,"2016-12-05 00:00:00","2016-10-05 06:12:23","2016-12-05 03:38:10",3,"2017-01-10 12:00:00",NA,"2016-10-05 06:12:23"
"92",167,2,5481,5000,0,0,"2016-12-04 12:00:00",0,"2016-11-07 00:00:00","2016-10-05 06:12:23","2016-11-07 03:36:33",3,"2016-12-11 12:00:00",NA,"2016-10-05 06:12:23"
"93",168,1,5481,5000,0,0,"2016-11-04 12:00:00",0,"2016-10-17 00:00:00","2016-10-05 06:12:23","2016-10-17 03:36:31",3,"2016-11-11 12:00:00",NA,"2016-10-05 06:12:23"
"94",169,3,5492,10000,0,0,"2017-01-03 12:00:01",0,"2016-11-15 00:00:00","2016-10-05 09:42:24","2016-11-15 05:36:31",3,"2017-01-10 12:00:01",NA,"2016-10-05 09:42:24"
"95",170,2,5492,10000,0,0,"2016-12-04 12:00:01",0,"2016-11-15 00:00:00","2016-10-05 09:42:24","2016-11-15 05:36:31",3,"2016-12-11 12:00:01",NA,"2016-10-05 09:42:24"
"96",171,1,5492,10000,0,0,"2016-11-04 12:00:01",0,"2016-11-04 00:00:00","2016-10-05 09:42:24","2016-11-04 11:36:30",3,"2016-11-11 12:00:01",NA,"2016-10-05 09:42:24"
"97",181,2,5514,16666,0,0,"2016-12-04 12:00:01",0,"2016-12-03 00:00:00","2016-10-05 12:12:24","2016-12-03 12:38:09",3,"2016-12-11 12:00:01",NA,"2016-10-05 12:12:24"
"98",182,1,5514,16666,0,0,"2016-11-04 12:00:01",0,"2016-11-04 00:00:00","2016-10-05 12:12:24","2016-11-04 12:36:31",3,"2016-11-11 12:00:01",NA,"2016-10-05 12:12:24"
"99",183,3,5514,16668,0,0,"2017-01-03 12:00:01",0,"2016-12-30 00:00:00","2016-10-05 12:12:24","2016-12-30 11:38:11",3,"2017-01-10 12:00:01",NA,"2016-10-05 12:12:24"
"100",184,3,5520,8334,0,0,"2017-01-03 12:00:00",0,"2016-12-06 00:00:00","2016-10-05 12:54:18","2016-12-06 10:38:10",3,"2017-01-10 12:00:00",NA,"2016-10-05 12:54:18"
"101",185,2,5520,8333,0,0,"2016-12-04 12:00:00",0,"2016-12-04 00:00:00","2016-10-05 12:54:18","2016-12-04 10:38:10",3,"2016-12-11 12:00:00",NA,"2016-10-05 12:54:18"
"102",186,1,5520,8333,0,0,"2016-11-04 12:00:00",0,"2016-11-04 00:00:00","2016-10-05 12:54:18","2016-11-04 14:36:30",3,"2016-11-11 12:00:00",NA,"2016-10-05 12:54:18"
"103",190,3,5547,10000,0,0,"2017-01-04 12:00:00",0,"2017-01-06 00:00:00","2016-10-06 04:38:17","2017-01-06 11:38:15",3,"2017-01-11 12:00:00",NA,"2016-10-06 04:38:17"
"104",191,1,5547,10000,0,0,"2016-11-05 12:00:00",0,"2016-11-04 00:00:00","2016-10-06 04:38:17","2016-11-04 14:36:33",3,"2016-11-12 12:00:00",NA,"2016-10-06 04:38:17"
"105",192,2,5547,10000,0,0,"2016-12-05 12:00:00",0,"2016-12-05 00:00:00","2016-10-06 04:38:17","2016-12-05 06:38:14",3,"2016-12-12 12:00:00",NA,"2016-10-06 04:38:17"
"106",205,1,5566,10000,0,9400,"2016-11-05 12:00:00",0,"2017-09-26 00:00:00","2016-10-06 07:46:17","2017-09-26 05:44:02",3,"2016-11-12 12:00:00","2017-09-24 00:11:21","2016-10-06 07:46:17"
"107",206,2,5566,10000,10000,14000,"2016-12-05 12:00:00",0,NA,"2016-10-06 07:46:17","2018-04-03 00:32:22",32036,"2016-12-12 12:00:00","2018-04-03 00:32:22","2016-10-06 07:46:17"
"108",207,3,5566,10000,10000,13200,"2017-01-04 12:00:00",0,NA,"2016-10-06 07:46:17","2018-04-05 00:32:19",32036,"2017-01-11 12:00:00","2018-04-05 00:32:19","2016-10-06 07:46:17"
"109",244,2,5690,33333,0,0,"2016-12-06 12:00:00",0,"2017-01-31 00:00:00","2016-10-07 13:34:17","2017-04-11 07:38:13",1,"2016-12-13 12:00:00","2017-01-25 00:10:31","2016-10-07 13:34:17"
"110",245,3,5690,33334,0,0,"2017-01-05 12:00:00",0,"2017-01-31 00:00:00","2016-10-07 13:34:17","2017-04-11 07:38:13",1,"2017-01-12 12:00:00","2017-04-07 00:10:44","2016-10-07 13:34:17"
"111",246,1,5690,33333,0,0,"2016-11-06 12:00:00",0,"2017-01-31 00:00:00","2016-10-07 13:34:17","2017-04-11 07:38:13",1,"2016-11-13 12:00:00","2017-01-30 00:10:38","2016-10-07 13:34:17"
"112",262,3,5734,25000,0,1000,"2017-01-06 12:00:01",1000,"2017-01-17 00:00:00","2016-10-08 07:50:18","2017-01-17 09:38:10",3,"2017-01-13 12:00:01","2017-01-14 00:10:30","2016-10-08 07:50:18"
"113",263,2,5734,25000,0,2500,"2016-12-07 12:00:01",2500,"2017-01-17 00:00:00","2016-10-08 07:50:18","2017-01-17 09:38:10",3,"2016-12-14 12:00:01","2017-01-05 00:10:28","2016-10-08 07:50:18"
"114",264,1,5734,25000,0,0,"2016-11-07 12:00:01",0,"2016-11-09 00:00:00","2016-10-08 07:50:18","2016-11-09 09:36:29",3,"2016-11-14 12:00:01",NA,"2016-10-08 07:50:18"
"115",265,3,5787,8334,0,0,"2017-01-08 12:00:00",0,"2017-01-03 00:00:00","2016-10-10 06:32:17","2017-01-03 03:38:12",3,"2017-01-15 12:00:00",NA,"2016-10-10 06:32:17"
"116",266,2,5787,8333,0,0,"2016-12-09 12:00:00",0,"2016-12-05 00:00:00","2016-10-10 06:32:17","2016-12-05 07:38:12",3,"2016-12-16 12:00:00",NA,"2016-10-10 06:32:17"
"117",267,1,5787,8333,0,0,"2016-11-09 12:00:00",0,"2016-11-01 00:00:00","2016-10-10 06:32:17","2016-11-01 05:36:34",3,"2016-11-16 12:00:00",NA,"2016-10-10 06:32:17"
"118",274,2,5802,18333,0,0,"2016-12-09 12:00:00",0,"2016-12-08 00:00:00","2016-10-10 08:26:17","2016-12-08 10:38:11",3,"2016-12-16 12:00:00",NA,"2016-10-10 08:26:17"
"119",275,1,5802,18333,0,733,"2016-11-09 12:00:00",733,"2017-01-07 00:00:00","2016-10-10 08:26:17","2017-01-07 08:38:17",3,"2016-11-16 12:00:00","2016-11-17 00:10:34","2016-10-10 08:26:17"
"120",276,3,5802,18334,0,0,"2017-01-08 12:00:00",0,"2017-01-07 00:00:00","2016-10-10 08:26:17","2017-01-07 10:38:11",3,"2017-01-15 12:00:00",NA,"2016-10-10 08:26:17"
"121",289,2,5875,23333,0,15272,"2016-12-11 12:00:01",15272,"2017-08-31 00:00:00","2016-10-12 06:52:18","2017-08-31 10:44:13",3,"2016-12-18 12:00:01","2017-07-31 00:11:09","2016-10-12 06:52:18"
"122",290,1,5875,23333,0,10610,"2016-11-11 12:00:01",10610,"2017-06-30 00:00:00","2016-10-12 06:52:18","2017-06-30 12:40:57",3,"2016-11-18 12:00:01","2017-06-24 00:10:57","2016-10-12 06:52:18"
"123",291,3,5875,23334,0,15877,"2017-01-10 12:00:01",15877,"2017-08-31 00:00:00","2016-10-12 06:52:18","2017-08-31 10:44:13",3,"2017-01-17 12:00:01","2017-08-30 00:11:16","2016-10-12 06:52:18"
"124",295,1,5880,8333,0,0,"2016-11-11 12:00:00",0,"2016-11-12 00:00:00","2016-10-12 07:46:18","2016-11-12 06:36:29",3,"2016-11-18 12:00:00",NA,"2016-10-12 07:46:18"
"125",296,2,5880,8333,0,0,"2016-12-11 12:00:00",0,"2016-12-12 00:00:00","2016-10-12 07:46:18","2016-12-12 03:38:16",3,"2016-12-18 12:00:00",NA,"2016-10-12 07:46:18"
"126",297,3,5880,8334,0,0,"2017-01-10 12:00:00",0,"2017-01-10 00:00:00","2016-10-12 07:46:18","2017-01-10 07:38:13",3,"2017-01-17 12:00:00",NA,"2016-10-12 07:46:18"
